Year,Month,Measurement Index,0,10,100,1100,150,20,200,300,400,5,50,500,700,900
1993,8,0,7.20843,,2.02716,-5.04687,,,-1.37896,-2.90277,,,,-4.50457,-5.17974,
1993,8,1,5.36383,,2.0072,-5.04687,,,-1.39838,-2.88345,,,,-4.50457,-5.16051,
1993,8,2,7.3421,,1.96729,-5.04687,,,-1.35954,-2.84479,,,,-4.466,-5.14128,
1993,8,3,5.33324,,1.84765,-5.04687,,,-1.34012,-2.82546,,,,-4.44672,-5.12205,
1993,9,0,7.54993,,1.76797,-5.02774,,,-1.34012,-2.80613,,,,-4.40815,-5.10282,
1993,9,1,5.4457,,1.70825,-5.02774,,,-1.3207,-2.7868,,,,-4.40815,-5.08359,
1993,9,2,4.58354,,1.66847,-5.00861,,,-1.30127,-2.76747,,,,-4.36958,-5.06436,
1993,9,3,5.53156,,1.56906,-5.00861,,,-1.30127,-2.74813,,,,-4.3503,-5.04513,
1993,9,4,4.091,,1.48961,-5.00861,,,-1.30127,-2.70946,,,,-4.33102,-5.04513,
1993,9,5,5.65383,,1.41022,-5.00861,,,-1.26241,-2.70946,,,,-4.29245,-5.00666,
1993,9,6,5.34534,,1.35072,-5.00861,,,-1.26241,-2.69012,,,,-4.29245,-5.00666,
1993,9,7,5.80582,,1.33089,-4.98948,,,-1.26241,-2.67078,,,,-4.25388,-4.9682,
1993,9,8,7.11374,,1.35072,-4.97035,,,-1.22354,-2.65144,,,,-4.23459,-4.94897,
1993,9,9,8.23513,,1.35072,-4.97035,,,-1.22354,-2.6321,,,,-4.21531,-4.92974,
1993,9,10,7.66657,,1.43006,-4.97035,,,-1.22354,-2.59342,,,,-4.17674,-4.9105,
1993,9,11,5.13952,,1.56906,-4.97035,,,-1.22354,-2.59342,,,,-4.17674,-4.89127,
1993,9,12,5.83101,,1.60881,-4.97035,,,-1.20411,-2.59342,,,,-4.13817,-4.87204,
1993,9,13,6.17528,,1.56906,-4.97035,,,-1.20411,-2.57408,,,,-4.13817,-4.85281,
1993,9,14,5.38394,,1.52933,-4.97035,,,-1.18467,-2.53539,,,,-4.11888,-4.85281,
1993,9,15,4.80226,,1.52933,-4.95122,,,-1.18467,-2.51604,,,,-4.09959,-4.85281,
1993,9,16,6.25069,,1.46975,-4.95122,,,-1.16523,-2.51604,,,,-4.04173,-4.81435,
1993,9,17,5.40595,,1.41022,-4.93209,,,-1.14578,-2.51604,,,,-4.02244,-4.81435,
1993,9,18,2.67747,,1.39038,-4.91296,,,-1.14578,-2.47735,,,,-4.00315,-4.77588,
1993,9,19,2.57789,,1.35073,-4.89383,,,-1.14578,-2.47735,,,,-3.98386,-4.77588,
1993,9,20,3.54357,,1.19222,-4.91296,,,-1.10689,-2.43864,,,,-3.98386,-4.73741,
1993,9,21,4.6429,,1.09327,-4.93209,,,-1.12634,-2.43864,,,,-3.96457,-4.73741,
1993,9,22,3.69062,,1.05372,-4.93209,,,-1.10689,-2.39994,,,,-3.94528,-4.69895,
1993,9,23,4.79432,,1.03395,-4.93209,,,-1.10689,-2.39994,,,,-3.9067,-4.69895,
1993,9,24,1.22492,,0.99442,-4.91296,,,-1.10689,-2.39994,,,,-3.9067,-4.69895,
1993,9,25,0.890395,,0.93515,-4.89383,,,-1.10689,-2.39994,,,,-3.9067,-4.67971,
1993,9,26,2.3862,,0.81672,-4.89383,,,-1.08744,-2.34187,,,,-3.84883,-4.66048,
1993,9,27,0.496175,,0.659,-4.89383,,,-1.08744,-2.32251,,,,-3.82954,-4.66048,
1993,9,28,-0.19039,,0.54086,-4.89383,,,-1.06799,-2.32251,,,,-3.82954,-4.62201,
1993,9,29,-1.49507,,0.403185,-4.89383,,,-1.04854,-2.32251,,,,-3.81025,-4.60278,
1993,10,0,0.02937,,0.285305,-4.89383,,,-1.04854,-2.32251,,,,-3.79095,-4.58354,
1993,10,1,1.18598,,0.147915,-4.89383,,,-1.02909,-2.32251,,,,-3.79095,-4.56431,
1993,10,2,0.869645,,0.06948,-4.89383,,,-1.02909,-2.30315,,,,-3.79095,-4.54507,
1993,10,3,-0.697965,,0.030285,-4.85556,,,-1.02909,-2.28379,,,,-3.75236,-4.54507,
1993,10,4,-1.33956,,-0.008895,-4.85556,,,-1.02909,-2.24507,,,,-3.71377,-4.52583,
1993,10,5,-0.656485,,-0.06765,-4.8747,,,-1.02909,-2.26443,,,,-3.73306,-4.52583,
1993,10,6,-0.40518,,-0.1068,-4.8747,,,-1.02909,-2.26443,,,,-3.69448,-4.52583,
1993,10,7,-1.72815,,-0.1068,-4.85556,,,-1.02909,-2.2257,,,,-3.67518,-4.46812,
1993,10,8,-1.59045,,-0.14595,-4.85556,,,-1.00963,-2.20633,,,,-3.67518,-4.46812,
1993,10,9,-0.46366,,-0.165515,-4.85556,,,-1.00963,-2.2257,,,,-3.65589,-4.46812,
1993,10,10,-0.67836,,-0.14595,-4.81729,,,-0.99017,-2.18696,,,,-3.63659,-4.42965,
1993,10,11,-1.3012,,-0.14595,-4.81729,,,-0.99017,-2.1676,,,,-3.61729,-4.42965,
1993,10,12,-0.326985,,-0.165515,-4.81729,,,-0.99017,-2.1676,,,,-3.59799,-4.39117,
1993,10,13,-1.14397,,-0.18508,-4.81729,,,-0.99017,-2.1676,,,,-3.59799,-4.39117,
1993,10,14,-0.170715,,-0.18508,-4.83643,,,-1.00963,-2.1676,,,,-3.59799,-4.37193,
1993,10,15,-0.424875,,-0.165515,-4.79816,,,-1.00963,-2.14823,,,,-3.54009,-4.35269,
1993,10,16,-1.30108,,-0.14595,-4.77902,,,-0.99017,-2.12886,,,,-3.52079,-4.35269,
1993,10,17,-2.38463,,-0.18508,-4.77902,,,-0.97071,-2.12886,,,,-3.52079,-4.33345,
1993,10,18,-1.86363,,-0.18508,-4.77902,,,-0.97071,-2.10948,,,,-3.50149,-4.31421,
1993,10,19,-2.13482,,-0.14595,-4.77902,,,-0.95125,-2.09011,,,,-3.50149,-4.31421,
1993,10,20,-1.7268,,-0.165515,-4.77902,,,-0.95125,-2.09011,,,,-3.48218,-4.29497,
1993,10,21,-1.18447,,-0.14595,-4.77902,,,-0.95125,-2.09011,,,,-3.48218,-4.27573,
1993,10,22,-2.50236,,-0.18508,-4.77902,,,-0.99017,-2.09011,,,,-3.48218,-4.29497,
1993,10,23,-2.8884,,-0.18508,-4.77902,,,-0.97071,-2.09011,,,,-3.48218,-4.27573,
1993,10,24,-3.13937,,-0.18508,-4.77902,,,-0.99017,-2.09011,,,,-3.48218,-4.27573,
1993,10,25,-3.04284,,-0.18508,-4.75988,,,-0.97071,-2.05136,,,,-3.46288,-4.23725,
1993,10,26,-3.33168,,-0.18508,-4.75988,,,-0.97071,-2.07074,,,,-3.44358,-4.23725,
1993,10,27,-2.7528,,-0.18508,-4.74074,,,-0.95125,-2.0126,,,,-3.44358,-4.19876,
1993,10,28,-4.23687,,-0.18508,-4.74074,,,-0.95125,-2.0126,,,,-3.40497,-4.19876,
1993,10,29,-4.23722,,-0.18508,-4.70247,,,-0.95125,-2.0126,,,,-3.40497,-4.17952,
1993,10,30,-6.64225,,-0.18508,-4.72161,,,-0.95125,-2.0126,,,,-3.40497,-4.16028,
1993,11,0,-4.31284,,-0.18508,-4.70247,,,-0.95125,-2.0126,,,,-3.36636,-4.16028,
1993,11,1,-4.67911,,-0.18508,-4.70247,,,-0.95125,-2.0126,,,,-3.34705,-4.12179,
1993,11,2,-6.6999,,-0.18508,-4.70247,,,-0.95125,-1.99322,,,,-3.32774,-4.12179,
1993,11,3,-6.52693,,-0.18508,-4.70247,,,-0.95125,-1.97384,,,,-3.32774,-4.12179,
1993,11,4,-7.12472,,-0.18508,-4.70247,,,-0.95125,-1.97384,,,,-3.32774,-4.12179,
1993,11,5,-6.85452,,-0.18508,-4.70247,,,-0.95125,-1.97384,,,,-3.32774,-4.10255,
1993,11,6,-6.7004,,-0.18508,-4.68333,,,-0.95125,-1.97384,,,,-3.30843,-4.06405,
1993,11,7,-7.0471,,-0.18508,-4.66419,,,-0.95125,-1.97384,,,,-3.28912,-4.0448,
1993,11,8,-8.10919,,-0.2242,-4.68333,,,-0.95125,-1.97384,,,,-3.28912,-4.0448,
1993,11,9,-7.25906,,-0.20464,-4.66419,,,-0.93178,-1.95446,,,,-3.26981,-4.0448,
1993,11,10,-7.1239,,-0.18508,-4.66419,,,-0.91231,-1.93507,,,,-3.2505,-4.00631,
1993,11,11,-7.95421,,-0.18508,-4.66419,,,-0.91231,-1.93507,,,,-3.2505,-4.00631,
1993,11,12,-5.96868,,-0.18508,-4.60677,,,-0.91231,-1.91569,,,,-3.21188,-4.00631,
1993,11,13,-5.66081,,-0.18508,-4.60677,,,-0.91231,-1.8963,,,,-3.21188,-4.00631,
1993,11,14,-6.06473,,-0.18508,-4.60677,,,-0.91231,-1.8963,,,,-3.21188,-3.96781,
1993,11,15,-5.39131,,-0.20464,-4.62591,,,-0.93178,-1.91569,,,,-3.19257,-3.98706,
1993,11,16,-5.14128,,-0.2242,-4.58762,,,-0.93178,-1.91569,,,,-3.19257,-3.96781,
1993,11,17,-5.46823,,-0.2633,-4.58762,,,-0.93178,-1.91569,,,,-3.19257,-3.94856,
1993,11,18,-5.89156,,-0.28285,-4.58762,,,-0.91231,-1.8963,,,,-3.17325,-3.92931,
1993,11,19,-3.96778,,-0.087225,-4.58762,,,-0.91231,-1.8963,,,,-3.17325,-3.94856,
1993,11,20,-6.6639,,,-4.58762,,,-0.91231,-1.85752,,,,-3.13462,-3.92931,
1993,11,21,-10.4678,,,-4.58762,,,-0.91231,-1.8963,,,,-3.15394,-3.92931,
1993,11,22,-10.5844,,,-4.58762,,,-0.91231,-1.87691,,,,-3.13462,-3.91005,
1993,11,23,-10.8977,,,-4.54933,,,-0.91231,-1.85752,,,,-3.09599,-3.8908,
1993,11,24,-8.80687,,,-4.58762,,,-0.91231,-1.83813,,,,-3.11531,-3.87155,
1993,11,25,-8.44019,,,-4.56848,,,-0.91231,-1.83813,,,,-3.11531,-3.8523,
1993,11,26,-6.02617,,,-4.54933,,,-0.91231,-1.81873,,,,-3.07667,-3.8523,
1993,11,27,-5.17974,,,-4.54933,,,-0.87337,-1.81873,,,,-3.05735,-3.8523,
1993,11,28,-5.58376,,,-4.53019,,,-0.89284,-1.81873,,,,-3.07667,-3.83304,
1993,11,29,-10.7451,,,-4.53019,,,-0.89284,-1.81873,,,,-3.05735,-3.83304,
1993,12,0,-8.85382,,-0.204625,-4.53019,,,-0.89284,-1.81873,,,,-3.03803,-3.81379,
1993,12,1,-5.64157,,0.11002,-4.51104,,,-0.87337,-1.81873,,,,-2.99939,-3.81379,
1993,12,2,-10.2959,,-0.51721,-4.51104,,,-0.91231,-1.81873,,,,-3.01871,-3.81379,
1993,12,3,-13.9772,,-0.595225,-4.51104,,,-0.87337,-1.77994,,,,-2.99939,-3.77528,
1993,12,4,-12.8453,,-0.848515,-4.51104,,,-0.89284,-1.79933,,,,-2.98007,-3.77528,
1993,12,5,-13.5298,,-1.15965,-4.51104,,,-0.91231,-1.81873,,,,-2.98007,-3.77528,
1993,12,6,-10.7612,,-1.50892,-4.4919,,,-0.89284,-1.77994,,,,-2.98007,-3.75603,
1993,12,7,-9.6642,,-1.72201,-4.47275,,,-0.87337,-1.77994,,,,-2.98007,-3.73677,
1993,12,8,-10.8442,,-1.97347,-4.47275,,,-0.87337,-1.77994,,,,-2.98007,-3.73677,
1993,12,9,-9.13954,,-2.20531,-4.47275,,,-0.87337,-1.77994,,,,-2.94142,-3.73677,
1993,12,10,-10.7425,,-2.35969,-4.47275,,,-0.853895,-1.77994,,,,-2.94142,-3.69825,
1993,12,11,-11.947,,-2.57179,-4.47275,,,-0.853895,-1.77994,,,,-2.94142,-3.69825,
1993,12,12,-12.6054,,-2.82217,-4.4536,,,-0.91231,-1.76054,,,,-2.94142,-3.69825,
1993,12,13,-10.5277,,-3.12997,-4.43445,,,-0.91231,-1.74114,,,,-2.9221,-3.69825,
1993,12,14,-9.80096,,-3.36058,-4.43445,,,-0.95125,-1.74114,,,,-2.90277,-3.67899,
1993,12,15,-11.1168,,-3.49501,-4.39615,,,-0.97071,-1.74114,,,,-2.90277,-3.65973,
1993,12,16,-9.87913,,-3.5718,-4.43445,,,-1.06799,-1.74114,,,,-2.90277,-3.65973,
1993,12,17,-11.0161,,-3.62938,-4.39615,,,-1.12634,-1.74114,,,,-2.90277,-3.65973,
1993,12,18,-10.8217,,-3.82123,-4.4153,,,-1.24297,-1.74114,,,,-2.88345,-3.65973,
